"","titles","prices","years","transmissions","make.1","make.2"
"240","Toyota AXIO",NA,"2014 ","Automatic",Toyota,AXIO
"241","Nissan AD Wagon","998000","2012 ","Automatic",Nissan,AD Wagon
"242","BMW 530i","4600000","2012 ","Automatic",BMW,530i
"243","Toyota Isis","1650000","2012 ","Automatic",Toyota,Isis
"244","Suzuki jimmy",NA," ","Manual",Suzuki,jimmy
"245","Toyota kingfish","980000","2006 ","Automatic",Toyota,kingfish
"246","Nissan Bluebird",NA,"2011 ","Automatic",Nissan,Bluebird
"247","Suzuki Swift",NA," ","Automatic",Suzuki,Swift
"248","Suzuki Swift RS",NA,"2015 ","Automatic",Suzuki,Swift RS
"249","Toyota AXIO",NA,"2012 ","Automatic",Toyota,AXIO
"250","Honda CIVIC","3e+06","2016 ","Automatic",Honda,CIVIC
"251","Toyota Corolla AXIO","1690000","2012 ","Automatic",Toyota,Corolla AXIO
"252","Suzuki Alto",NA,"2012 ","Automatic",Suzuki,Alto
"253","Toyota Yaris",NA,"2016 ","Tiptronic",Toyota,Yaris
"254","Toyota Altis","930000","2005 ","Automatic",Toyota,Altis
"255","Honda Stepwagon","2699000","2014 ","Automatic",Honda,Stepwagon
"256","Honda CRV ZX","2990000","2011 ","Automatic",Honda,CRV ZX
"257","Daihatsu mira","685000","2012 ","Automatic",Daihatsu,mira
"258","Toyota AXIO","1950000","2014 ","Manual",Toyota,AXIO
"259","Toyota Probox",NA,"2012 ","Automatic",Toyota,Probox
"260","Honda Accord","1750000","2009 ","Automatic",Honda,Accord
"261","Hyundai Genesis",NA," ","Automatic",Hyundai,Genesis
"262","Toyota Mark X","1950000","2010 ","Automatic",Toyota,Mark X
"263","Nissan Sylphy",NA,"2013 ","Automatic",Nissan,Sylphy
"264","Toyota Wish X","2100000","2012 ","Automatic",Toyota,Wish X
"265","Toyota Altis","890000","2004 ","Automatic",Toyota,Altis
"266","Nissan Bluebird Sylphy",NA,"2008 ","Automatic",Nissan,Bluebird Sylphy
